,video,algorithm,bins,rmse_td,nrmse_td,ssim_td,psnr_td,rmse_cam,nrmse_cam,ssim_cam,psnr_cam
22,V0_ALepper_EThomas,A1F1_OPENPOSE_COCO,128,0.6625632220112433,0.4389900231619201,0.6442852799868551,18.75648476219956,0.6868870391572455,0.4718138045622073,0.866500700989386,22.453356387826062
23,V0_ALepper_EThomas,A1F1_OPENPOSE_COCO,256,0.6650113723906996,0.44224012540896174,0.6303991971219195,18.702579597746038,0.6893975744029436,0.4752690155926621,0.8628390942850214,22.40433263227426
24,V0_ALepper_EThomas,A1F2_OPENPOSE_MPI,2,0.4630235403610775,0.21439079892850638,0.9265604251321422,21.91955989669973,0.38756334027467026,0.15020534272485983,0.9704314398736537,25.619096422952808
25,V0_ALepper_EThomas,A1F2_OPENPOSE_MPI,4,0.5680755364282174,0.322709815088207,0.7919213558740907,20.0621062137359,0.5110784387994368,0.2612011706056697,0.9160914350835508,23.86442416282977
26,V0_ALepper_EThomas,A1F2_OPENPOSE_MPI,8,0.6189974264059754,0.38315781389722103,0.7212673998694996,19.382439690678915,0.6038212033943895,0.3646000456686486,0.890469028434224,23.105527440675687
27,V0_ALepper_EThomas,A1F2_OPENPOSE_MPI,16,0.6495033877604834,0.4218546507123449,0.7184004215211022,18.90193097857366,0.6620703168605541,0.4383371044678344,0.8867440295559699,22.5495824164106
28,V0_ALepper_EThomas,A1F2_OPENPOSE_MPI,32,0.6671021842888815,0.44502532428299674,0.698906085812305,18.56631785483759,0.6895627505734171,0.4754967869783766,0.8797302803757207,22.221405504786965
29,V0_ALepper_EThomas,A1F2_OPENPOSE_MPI,64,0.6765070376281503,0.4576617719604156,0.6713499585220466,18.37269478951776,0.7018789413371185,0.49263404829251417,0.8708100845676345,22.03799852512335
30,V0_ALepper_EThomas,A1F2_OPENPOSE_MPI,128,0.6812577936782658,0.46411218144737854,0.6495521988189693,18.27311841886415,0.7075204747568433,0.500585222200149,0.8639761606256356,21.93920876592778
31,V0_ALepper_EThomas,A1F2_OPENPOSE_MPI,256,0.6837073189830618,0.4674556980310063,0.6361330799694638,18.220933328766392,0.7101886690382768,0.5043679456303591,0.8598243788777931,21.88817311736514
32,V0_ALepper_EThomas,A2_POSENET,2,0.4699841033829082,0.22088505743263614,0.9188208691578266,21.66035600136132,0.38848587634632575,0.1509212761205727,0.9684727645044815,25.57779465956738
33,V0_ALepper_EThomas,A2_POSENET,4,0.5650763846599143,0.31931132050031946,0.78035763897801,20.15406338774564,0.5094771314899934,0.259566947511272,0.913146104291366,23.918938744438222
34,V0_ALepper_EThomas,A2_POSENET,8,0.6138590027888847,0.376822875304964,0.7120981651153792,19.52724824368243,0.5974648194615519,0.35696421049422483,0.8896956488800417,23.289368303087798
35,V0_ALepper_EThomas,A2_POSENET,16,0.646063327502779,0.417397823143963,0.707052421897297,18.994184209894712,0.6556053038715491,0.42981831446450636,0.8870784754013009,22.72004877109431
